feature,importance_mean,importance_std
BMI,0.11417455193320906,0.003807102880478863
GenHlth,0.11005779856464282,0.0052159936548607354
HighBP,0.07295576084638988,0.003249126042800134
HighChol,0.059763273655159654,0.0016355836507170778
Age,0.016536388911310256,0.002514559489308087
Income,0.01492965097463124,0.0011307067935884974
HeartDiseaseorAttack,0.012938229030136021,0.0008580861590969819
DiffWalk,0.011346403686910561,0.0012736798392856835
HvyAlcoholConsump,0.00536779726969315,0.0009137669339456628
CholCheck,0.005320130888868374,0.0009753021661990713
Fruits,-0.0007318310489495272,0.0010779599819342061
Education,-0.0007616130733968524,0.0020249156535799297
Veggies,-0.001003384025667721,0.0012563721433975533
PhysActivity,-0.0021727023442126084,0.0009576009453493966
NoDocbcCost,-0.002600419685956784,0.0005588605949121997
Stroke,-0.0026048011803392196,0.0003425414189061218
MentHlth,-0.0030271482355593016,0.001374963547349831
Sex,-0.003864993920032485,0.0012332178316189011
AnyHealthcare,-0.003949357064267266,0.000779136177033441
Smoker,-0.007641488443809637,0.001171007611342441
PhysHlth,-0.008012817001491548,0.0013942344871277401
